suburb,postcode,pri_breed,pri_colour,de_sexed,yrmonth
NOBLE PARK,3174,Chihuahua,Black,Y,2005-11
NOBLE PARK,3174,Chihuahua X,Sable & White,N,2007-06
DANDENONG NORTH,3175,Scotch Terrier,White,Y,2004-07
DANDENONG NORTH,3175,Cocker Spaniel X,White & Beige,Y,2007-01
DANDENONG NORTH,3175,Terrier,White & Tan,Y,2012-01
DANDENONG NORTH,3175,Golden Retriever,Gold,Y,2014-12
DANDENONG NORTH,3175,Shih Tzu X,Sable,N,2014-04
KEYSBOROUGH,3173,Pomeranian,Orange,Y,2012-12
KEYSBOROUGH,3173,Golden Retriever,Fawn & Gold,N,2008-03
KEYSBOROUGH,3173,Golden Retriever,Gold,Y,2003-12
NOBLE PARK NORTH,3174,Domestic,Brindle,Y,2005-05
NOBLE PARK NORTH,3174,Fox Terrier X,Tri Coloured,Y,2014-09
NOBLE PARK NORTH,3174,Maltese X,Tri Coloured,Y,2001-09
DANDENONG NORTH,3175,Pomeranian X,Tan,N,2010-06
DANDENONG NORTH,3175,Dachshund,Red,Y,2012-01
DANDENONG NORTH,3175,Border Collie X,White & Gold,Y,2006-07
DANDENONG NORTH,3175,Beagle X,Tri Coloured,N,2015-01
DANDENONG NORTH,3175,Rottweiler X,Black & Tan,N,2015-08
DANDENONG NORTH,3175,Australian Terrier,Tri Coloured,Y,2007-09
DANDENONG NORTH,3175,Maltese X,Tan,N,2006-09
DANDENONG NORTH,3175,German Shepherd,Black & Tan,N,2010-06
DANDENONG NORTH,3175,Kelpie X,White & Black,Y,1999-05
DANDENONG NORTH,3175,English Staffordshire Bull Terrier,Black,Y,2007-07
DANDENONG NORTH,3175,Staffordshire Bull Terrier,Black & White,Y,2006-08
DANDENONG NORTH,3175,Jack Russell Terrier,White & Black,N,2006-09
DANDENONG NORTH,3175,Boxer X,Tan & Black,Y,2013-10
DANDENONG NORTH,3175,Pomeranian,Brown,Y,2002-03
KEYSBOROUGH,3173,Maltese X,Black,Y,2006-10
KEYSBOROUGH,3173,Maltese X,Brown & White,Y,2015-02
NOBLE PARK,3174,Fox Terrier X,Black & White,Y,2005-04
NOBLE PARK,3174,Blue Heeler X,Black & White,N,2014-05
NOBLE PARK,3174,Cattle Dog,Blue,Y,2012-10
DANDENONG NORTH,3175,Chihuahua X,White,Y,2003-03
DANDENONG NORTH,3175,Maltese X,Tri Coloured,N,2008-12
DANDENONG NORTH,3175,Maltese X,White & Grey,Y,2006-04
DANDENONG NORTH,3175,Maltese X,Black & White,Y,2009-06
NOBLE PARK,3174,Staffordshire Bull Terrier,Blue & White,N,2014-01
NOBLE PARK,3174,Siberian Husky,Brown & White,Y,2012-10
NOBLE PARK,3174,Siberian Husky,White,Y,2012-10
KEYSBOROUGH,3173,Maltese X,White,Y,2013-04
KEYSBOROUGH,3173,Miniature Poodle X,Cream,N,2008-07
KEYSBOROUGH,3173,Jack Russell Terrier X,Black & White,Y,2010-04
KEYSBOROUGH,3173,Fox Terrier,Tri Coloured,Y,2011-04
KEYSBOROUGH,3173,Maltese X,White & Brown,Y,2011-05
KEYSBOROUGH,3173,Cavoodle,Cream & Tan,N,2013-01
KEYSBOROUGH,3173,Poodle X,Black,Y,2012-06
KEYSBOROUGH,3173,Brittany Spaniel,Orange & White,Y,2014-03
KEYSBOROUGH,3173,Rough Collie,Sable & White,Y,2012-12
DANDENONG NORTH,3175,Japanese Spitz,White,Y,2006-05
DANDENONG NORTH,3175,Poodle X,Grey & White,Y,2001-02
DANDENONG NORTH,3175,American Staffordshire Bull Terrier,Blue,Y,2013-02
DANDENONG NORTH,3175,Staffordshire Bull Terrier,Fawn,Y,2003-06
DANDENONG NORTH,3175,Greyhound,Brindle,Y,2013-02
DANDENONG,3175,Jack Russell Terrier X,Tri Coloured,Y,2010-08
DANDENONG,3175,Maltese X,White & Apricot,Y,2010-08
DANDENONG,3175,Labrador,Gold,N,2008-05
DANDENONG,3175,Maltese X,Grey & White,Y,2004-06
DANDENONG,3175,Shih Tzu X,White & Black,Y,2003-07
NOBLE PARK,3174,Pomeranian X,Grey & White,Y,2008-01
NOBLE PARK,3174,Jack Russell Terrier X,Tan & White,Y,2008-03
NOBLE PARK,3174,Shih Tzu X,White & Sable,Y,2007-04
NOBLE PARK,3174,Maltese X,Beige,Y,2003-06
NOBLE PARK,3174,German Shepherd X,Brown,Y,2008-08
DANDENONG,3175,Bull Mastiff X,Black & Tan,Y,2004-05
DANDENONG NORTH,3175,Chihuahua,Red & Tan,Y,2011-06
SPRINGVALE SOUTH,3172,American Staffordshire Bull Terrier,Cream,Y,2011-02
SPRINGVALE SOUTH,3172,Staffordshire Bull Terrier,Brindle,Y,2009-07
SPRINGVALE SOUTH,3172,Pomeranian,Cream,N,2005-04
KEYSBOROUGH,3173,Border Collie,Black & White,Y,2005-08
SPRINGVALE SOUTH,3172,Domestic,Brown,N,2008-05
SPRINGVALE SOUTH,3172,Corgi,White & Brown,Y,2013-01
SPRINGVALE SOUTH,3172,Pomeranian X,Tan,Y,2002-02
SPRINGVALE SOUTH,3172,Miniature Poodle,Black,Y,2012-11
SPRINGVALE SOUTH,3172,Terrier X,Brown,Y,2007-07
SPRINGVALE SOUTH,3172,Pug,Fawn,Y,2002-04
SPRINGVALE SOUTH,3172,Pug,Fawn & Black,Y,2014-01
SPRINGVALE SOUTH,3172,Jack Russell Terrier,Tri Coloured,Y,1996-05
SPRINGVALE SOUTH,3172,Silky Terrier X,Grey,Y,2010-03
SPRINGVALE SOUTH,3172,Kelpie,Tri Coloured,Y,2012-06
KEYSBOROUGH,3173,Kelpie X,Black,Y,2007-01
KEYSBOROUGH,3173,Border Collie,Black & White,Y,2005-04
KEYSBOROUGH,3173,Pug X,Tan & White,N,2015-03
KEYSBOROUGH,3173,Labrador X,Gold,Y,2010-04
KEYSBOROUGH,3173,Staffordshire Bull Terrier,Brindle,N,2003-09
KEYSBOROUGH,3173,Poodle X,Black,Y,2007-01
KEYSBOROUGH,3173,Poodle,Apricot,Y,2000-09
KEYSBOROUGH,3173,Poodle X,Red & Apricot,N,2015-10
KEYSBOROUGH,3173,Staffordshire Bull Terrier,Red & White,Y,2011-02
KEYSBOROUGH,3173,Pomeranian X,White & Tan,Y,2003-01
KEYSBOROUGH,3173,Cavalier King Charles Spaniel X,Gold & White,N,2009-08
KEYSBOROUGH,3173,Toy Poodle X,Cream,N,2012-07
KEYSBOROUGH,3173,Terrier,White,N,2014-09
KEYSBOROUGH,3173,Jack Russell Terrier X,Black & White,Y,2006-08
KEYSBOROUGH,3173,Labrador X,Chocolate,N,2012-12
KEYSBOROUGH,3173,Jack Russell Terrier,White & Black,Y,2008-03
KEYSBOROUGH,3173,Welsh Corgi,Black & Tan,Y,2014-09
KEYSBOROUGH,3173,Pomeranian X,Black,N,2005-06
KEYSBOROUGH,3173,Siberian Husky X,White,Y,2015-03
KEYSBOROUGH,3173,Pug,Tan & Black,Y,2007-03
KEYSBOROUGH,3173,Staffordshire Bull Terrier,Blue,N,2014-08
KEYSBOROUGH,3173,German Shepherd,Black & Tan,Y,2006-05
KEYSBOROUGH,3173,Chow Chow X,Black,N,2015-01
KEYSBOROUGH,3173,Beagle,Tri Coloured,Y,2015-05
KEYSBOROUGH,3173,Jack Russell Terrier X,Tan & White,Y,2014-02
KEYSBOROUGH,3173,Staffordshire Bull Terrier X,Tan,Y,2014-01
KEYSBOROUGH,3173,Jack Russell Terrier,Tri Coloured,Y,2012-09
KEYSBOROUGH,3173,Labrador,Black,Y,2011-06
DANDENONG NORTH,3175,German Shepherd X,Tan,Y,2007-02
DANDENONG NORTH,3175,Cocker Spaniel,Blue & Roan,Y,2009-02
DANDENONG NORTH,3175,Pomeranian,Brown,N,2007-05
DANDENONG NORTH,3175,Poodle X,Ruby,Y,2013-05
SPRINGVALE,3171,Jack Russell Terrier,Black & White,Y,2010-07
SPRINGVALE,3171,Staffordshire Bull Terrier,Tan & White,Y,2014-03
NOBLE PARK,3174,Staffordshire Bull Terrier,White & Black,Y,2011-12
NOBLE PARK,3174,Maltese X,White,Y,2011-01
NOBLE PARK,3174,Staffordshire Bull Terrier X,Tan,Y,2015-01
NOBLE PARK,3174,Cavalier King Charles Spaniel,Blenheim,N,2008-01
NOBLE PARK,3174,German Shepherd X,Brown & Black,Y,2001-02
NOBLE PARK,3174,English Staffordshire Bull Terrier,Tan,N,2013-12
NOBLE PARK,3174,Pug X,Fawn & Black,N,2004-09
NOBLE PARK,3174,Maltese X,White & Brown,Y,2002-05
NOBLE PARK,3174,Border Collie,Blue Merle,Y,2015-07
NOBLE PARK,3174,Tenterfield Terrier,Tri Coloured,Y,2009-01
NOBLE PARK,3174,Shar Pei X,Gold & White,N,2015-07
NOBLE PARK,3174,Pomeranian,Tan & Black,Y,1999-05
NOBLE PARK,3174,Maltese X,Tan,Y,2009-08
NOBLE PARK,3174,Staffordshire Bull Terrier X,Brindle,Y,2003-12
NOBLE PARK,3174,Bull Arab X,White,Y,2015-07
NOBLE PARK,3174,Siberian Husky,Black & White,Y,2014-01
NOBLE PARK,3174,Siberian Husky X,Tan & Black,Y,2014-06
DANDENONG,3175,Maltese X,Brown & White,N,2011-04
DANDENONG,3175,Maltese X,White,Y,2013-02
DANDENONG,3175,German Shepherd X,Black & Tan,N,2005-07
DANDENONG,3175,Bichon Frise,White,Y,2010-07
DANDENONG,3175,French Bull Dog,Tan & White,Y,2008-04
DANDENONG,3175,Sheltie X,Tri Coloured,Y,2014-01
DANDENONG,3175,Jack Russell Terrier X,Black & Tan,Y,2013-11
DANDENONG,3175,Staffordshire Bull Terrier X,Brindle,N,2006-04
DANDENONG,3175,Labrador,Gold,Y,2013-07
DANDENONG,3175,Toy Poodle X,Grey & White,Y,2006-11
DANDENONG,3175,Koolie,Red & Merle,Y,2009-12
DANDENONG,3175,Pomeranian,Brown & Tan,Y,2008-04
DANDENONG,3175,Doberman Pinscher X,Tri Coloured,N,2003-04
DANDENONG,3175,Golden Retriever,Gold,N,2002-08
DANDENONG,3175,Maltese X,White,N,2009-07
DANDENONG,3175,Maltese X,Yellow & White,N,2002-08
DANDENONG,3175,Maltese X,White & Cream,Y,2004-01
SPRINGVALE,3171,Maremma Sheepdog,White,Y,1997-12
SPRINGVALE,3171,Chihuahua,Black & Brown,N,2011-12
SPRINGVALE,3171,Maltese X,Tan & Black,N,2013-06
SPRINGVALE,3171,German Shepherd,White,Y,2014-12
SPRINGVALE,3171,Staffordshire Bull Terrier,Brindle,Y,2014-04
SPRINGVALE,3171,Chihuahua X,Tri Coloured,Y,2012-06
SPRINGVALE,3171,Pomeranian X,Cream,Y,2012-11
SPRINGVALE,3171,Chihuahua X,Brown,Y,2011-06
SPRINGVALE,3171,Papillon,Black & White,Y,2010-08
DANDENONG,3175,Chihuahua X,Tan,N,2010-03
DANDENONG,3175,Jack Russell Terrier X,Tri Coloured,N,2009-11
DANDENONG,3175,Maltese,White,Y,2006-02
DANDENONG,3175,Maltese X,Black & White,N,2000-09
DANDENONG,3175,Poodle X,White,Y,2004-11
DANDENONG,3175,Shih Tzu X,White,Y,2010-02
DANDENONG,3175,Jack Russell Terrier,Tan & White,Y,2010-07
DANDENONG,3175,Shih Tzu X,White,Y,2006-10
DANDENONG,3175,Bull Terrier,White,N,2012-02
DANDENONG,3175,Bull Terrier,Brindle & White,N,2013-01
NOBLE PARK NORTH,3174,Rottweiler,Black & Tan,N,2013-10
DANDENONG,3175,King Charles Spaniel,Blenheim,N,2010-01
DANDENONG,3175,Jack Russell Terrier,Black & White,Y,2004-10
DANDENONG,3175,Jack Russell Terrier,Tan & White,Y,2010-05
KEYSBOROUGH,3173,Maltese X,Tan,Y,2010-05
DANDENONG,3175,American Staffordshire Bull Terrier,Tan & White,N,2012-07
DANDENONG NORTH,3175,Maltese X,Tri Coloured,Y,2004-10
DANDENONG NORTH,3175,Japanese Spitz,White,Y,2010-11
DANDENONG NORTH,3175,Kelpie X,Brown,Y,2001-02
DANDENONG NORTH,3175,Fox Terrier,Brindle,N,2009-02
DANDENONG NORTH,3175,Shar Pei,Red,Y,2005-02
DANDENONG NORTH,3175,Golden Retriever,Gold,Y,2005-07
DANDENONG NORTH,3175,Heeler X,Tri Coloured,Y,2007-08
DANDENONG NORTH,3175,Maltese X,White,N,2010-02
KEYSBOROUGH,3173,Boxer X,Brown,Y,2005-05
KEYSBOROUGH,3173,Miniature Dachshund,Chocolate,Y,2014-07
KEYSBOROUGH,3173,Pug X,Black & Tan,N,2012-02
